ticker,return_1y,return_6m,return_1m,volatility,momentum,ma_50,ma_200,sector,market_cap,price,dividend,avg_volume
GAIL.NS,0.09490474175668627,0.002451938103881808,0.03708754788441394,0.015917809617436343,8.974624633789062,163.26105407714843,172.31585273742675,Utilities,1106257117184,168.25,7.35,11298708
GVT&D.NS,1.799516097060746,0.38518279318068277,0.19174686344336755,0.02670054902375031,1228.39990234375,3212.4439892578125,2818.110311279297,Industrials,986035191808,3851.0,0.13,719318
GMRAIRPORT.NS,0.4613941520895391,0.17648428599122784,0.07849614223551256,0.01690913756512056,1.3600006103515625,99.49499954223633,93.3477997970581,Industrials,1069201948672,101.25,,17360812
GRSE.NS,0.87535909818635,0.04457763308932839,-0.11505320956089314,0.03461626383787897,22.008544921875,2442.48361328125,2621.780119628906,Industrials,278979772416,2435.0,1.08,1226757
GICRE.NS,0.01467218123135394,0.08791613243938438,0.01838384454819049,0.01740565978294678,24.95001220703125,376.5459997558594,378.30189682006835,Financial Services,675707158528,385.15,2.57,470106
GILLETTE.NS,0.06312642524802886,-0.14901271269537542,-0.023726724539305324,0.017267126986023656,584.0908203125,8199.835810546874,9153.841955566406,Consumer Defensive,274172002304,8414.0,2.0,29012
GLAND.NS,0.1432007978252484,-0.028831896865727707,-0.007689781955818161,0.015870422890383325,128.2000732421875,1757.5619995117188,1816.4552752685547,Healthcare,301701955584,1831.2,0.97,170192
GLAXO.NS,0.004263736189073104,-0.06707362615013465,0.08186202761545901,0.020773151869071516,252.800048828125,2477.88400390625,2775.6270971679687,Healthcare,440150753280,2598.2,1.6,82406
GLENMARK.NS,0.6184574210420049,0.10483961194566221,0.051837827602616966,0.018696541457276276,119.699951171875,2014.47599609375,1912.2112713623046,Healthcare,600108826624,2125.8,0.24,537223
MEDANTA.NS,-0.03040872148769795,-0.15829694323144106,0.09745677207557749,0.019114664361570215,12.300048828125,1145.1999951171874,1243.9562420654297,Healthcare,310410575872,1155.5,0.04,172664
GODIGIT.NS,0.1268520237365484,-0.07754151584281542,0.04282860864850613,0.017004419299111857,12.45001220703125,333.07600036621096,345.6427503967285,Financial Services,313102270464,338.75,,362666
GPIL.NS,0.6720987842388639,0.1704965758012079,0.09456740442655935,0.02571567358399002,14.45001220703125,259.0155993652344,232.1033920288086,Basic Materials,176275505152,271.75,0.37,1980996
GODFRYPHLP.NS,0.16964962895330277,-0.4322863192911098,0.017243968389216408,0.03491446679815835,-174.199951171875,2262.3180224609373,2865.864962158203,Consumer Defensive,323178594304,2071.9,1.77,1189855
GODREJAGRO.NS,-0.16006884681583478,-0.17600971219981737,0.14328556640637735,0.02004028087826295,69.95001220703125,573.9690002441406,678.0973977661133,Consumer Defensive,117721751552,611.55,1.78,298943
GODREJCP.NS,0.1761103066230846,-0.012846068462486211,0.053634889284730994,0.013971478021516076,-15.546875,1207.0575512695314,1191.0087890625,Consumer Defensive,1244879388672,1216.6,1.61,976852
GODREJIND.NS,-0.08437455559615507,-0.18094617494813847,0.034390720500582284,0.02069812429263087,-9.9000244140625,1007.1429956054687,1115.7992468261718,Industrials,336686972928,999.65,,112513
GODREJPROP.NS,-0.08650251385845042,-0.0904656546640362,0.12347789519449574,0.02226447518168186,-117.5,1844.7780029296875,2086.0050048828125,Real Estate,534731620352,1775.3,,1157065
GRANULES.NS,0.15550916037743368,0.24986623863028357,0.023484095666674868,0.02021055064656474,0.9000244140625,585.9629992675781,535.795198059082,Healthcare,141766787072,584.15,0.25,1006284
GRAPHITE.NS,0.9252105044287843,0.4579092208374602,0.20638267768245958,0.026929228633436508,105.1500244140625,639.44900390625,572.0560111999512,Industrials,145264328704,743.05,1.51,1484670
GRASIM.NS,0.21125376255472034,0.017437635336812193,0.0017736786094359701,0.012835972688454201,14.39990234375,2837.3519921875,2781.8724475097656,Basic Materials,1915683602432,2823.8,0.35,578834
GRAVITA.NS,-0.05104469044524122,-0.012718389953048487,-0.0033034459906971223,0.025616470548308696,5.699951171875,1681.0420092773438,1734.2695025634766,Industrials,116677451776,1601.9,0.71,187257
GESHIP.NS,0.645585792424335,0.4667192488899389,0.12417858810989638,0.018252519597533004,228.4249267578125,1184.5138818359376,1043.559125061035,Industrials,191550701568,1341.7,2.14,397614
FLUOROCHEM.NS,-0.07913128722946182,-0.00041200542441604117,0.116751269035533,0.017968789052170295,-4.60009765625,3418.8260009765627,3543.4727673339844,Basic Materials,374258958336,3407.0,0.09,68304
GUJGASLTD.NS,0.08349332879378525,-0.017979125885093417,-0.04513932510055877,0.015307640665118439,-4.050018310546875,412.0379998779297,429.0826333618164,Utilities,279486398464,406.0,1.42,409594
GMDCLTD.NS,1.3512348611568934,0.4598790514425539,0.0016443309511575076,0.032874977222309004,22.25,571.9959973144531,496.9776808166504,Energy,184057348096,578.7,1.75,4999746
GSPL.NS,0.1096962569537449,0.06522439214285661,-0.00016420981465731395,0.015983181945255023,-0.4000244140625,303.31499938964845,309.7171578979492,Utilities,172140658688,305.0,1.64,846129
